model_id,embedding_family,embedding,model,beta,accuracy,precision,recall,f_1.0,f_0.7,f_0.5,f_0.3,TN,TP,FP,FN,confusion_matrix,score_type,model_path
CM027,clinical-modernbert,clinical-modernbert_cls_pca,XGBoost,1.0,0.7719298245614035,0.7058823529411765,0.4931506849315068,0.5806451612903226,,,,140,36,15,37,"[[140, 15], [37, 36]]",,
CM028,clinical-modernbert,clinical-modernbert_cls_pca,LogisticRegression,0.5,0.7763157894736842,0.6833333333333333,0.5616438356164384,0.6165413533834586,,0.6549520766773163,,136,41,19,32,"[[136, 19], [32, 41]]",,
CM029,clinical-modernbert,clinical-modernbert_cls_pca,RidgeClassifier,0.5,0.7719298245614035,0.6615384615384615,0.589041095890411,0.6231884057971014,,0.6456456456456456,,133,43,22,30,"[[133, 22], [30, 43]]",,
CM030,clinical-modernbert,clinical-modernbert_cls_pca,LDA,0.5,0.7675438596491229,0.6515151515151515,0.589041095890411,0.6187050359712231,,0.6379821958456974,,132,43,23,30,"[[132, 23], [30, 43]]",,
CM031,clinical-modernbert,clinical-modernbert_cls_pca,SVM,0.5,0.7412280701754386,0.6944444444444444,0.3424657534246575,0.4587155963302752,,0.576036866359447,,144,25,11,48,"[[144, 11], [48, 25]]",,
CM032,clinical-modernbert,clinical-modernbert_cls_pca,KNN,0.5,0.6973684210526315,0.5454545454545454,0.3287671232876712,0.4102564102564102,,0.4819277108433735,,135,24,20,49,"[[135, 20], [49, 24]]",,
CM033,clinical-modernbert,clinical-modernbert_cls_pca,MLPClassifier,0.5,0.7719298245614035,0.6438356164383562,0.6438356164383562,0.6438356164383562,,0.6438356164383562,,129,47,26,26,"[[129, 26], [26, 47]]",,
CM034,clinical-modernbert,clinical-modernbert_cls_pca,DecisionTree,0.5,0.6842105263157895,0.5106382978723404,0.3287671232876712,0.4,,0.4597701149425287,,132,24,23,49,"[[132, 23], [49, 24]]",,
CM035,clinical-modernbert,clinical-modernbert_cls_pca,RandomForest,0.5,0.7543859649122807,0.7575757575757576,0.3424657534246575,0.4716981132075472,,0.6097560975609756,,147,25,8,48,"[[147, 8], [48, 25]]",,
CM036,clinical-modernbert,clinical-modernbert_cls_pca,XGBoost,0.5,0.7456140350877193,0.6666666666666666,0.410958904109589,0.5084745762711864,,0.5928853754940712,,140,30,15,43,"[[140, 15], [43, 30]]",,
